time	V(n012)	V(n015)	I(L1)
2.440000000000000e-006	1.206824e+001	1.149094e-003	-1.606679e-002
2.446893344729225e-006	1.212367e+001	1.053633e-003	-1.346990e-002
2.450000000000000e-006	1.214695e+001	1.011507e-003	-1.229645e-002
2.453786689458449e-006	1.217389e+001	9.611224e-004	-1.086287e-002
2.460000000000000e-006	1.221475e+001	8.793752e-004	-8.507445e-003
2.460220000000000e-006	1.221611e+001	8.765257e-004	-8.423907e-003
2.460660000000000e-006	1.221884e+001	8.708293e-004	-8.256813e-003
2.463300000000000e-006	1.223475e+001	8.368251e-004	-7.253645e-003
2.466820000000000e-006	1.225480e+001	7.918237e-004	-5.914960e-003
2.470000000000000e-006	1.227178e+001	7.513807e-004	-4.704881e-003
2.470006996013992e-006	1.227181e+001	7.512923e-004	-4.702217e-003
2.470020988041976e-006	1.227188e+001	7.511153e-004	-4.696890e-003
2.471040407223665e-006	1.227709e+001	7.382469e-004	-4.308656e-003
2.472059826405355e-006	1.228219e+001	7.254037e-004	-3.920337e-003
2.473079245587044e-006	1.228718e+001	7.125859e-004	-3.531933e-003
2.474098664768734e-006	1.229205e+001	6.997934e-004	-3.143443e-003
2.475118083950423e-006	1.229681e+001	6.870263e-004	-2.754868e-003
2.476137503132113e-006	1.230147e+001	6.742845e-004	-2.366208e-003
2.477156922313802e-006	1.230601e+001	6.615680e-004	-1.977463e-003
2.484320840641596e-006	1.233474e+001	5.723484e-004	7.549197e-004
2.485672163344412e-006	1.233954e+001	5.555723e-004	1.270518e-003
2.488374808750042e-006	1.234854e+001	5.220853e-004	2.301974e-003
2.493780099561304e-006	1.236413e+001	4.550702e-004	4.364841e-003
2.500000000000000e-006	1.237807e+001	3.778452e-004	6.738342e-003
2.500013683808333e-006	1.237809e+001	3.776457e-004	6.743562e-003
2.500041051424998e-006	1.237814e+001	3.772218e-004	6.754003e-003
2.500095786658329e-006	1.237821e+001	3.762909e-004	6.774884e-003
2.500149082602157e-006	1.237827e+001	3.752545e-004	6.795216e-003
2.500255674489812e-006	1.237835e+001	3.727289e-004	6.835878e-003
2.500468858265121e-006	1.237834e+001	3.660253e-004	6.917198e-003
2.500895225815741e-006	1.237765e+001	3.462331e-004	7.079808e-003
2.501747960916981e-006	1.237364e+001	2.849848e-004	7.404855e-003
2.503038022569110e-006	1.236061e+001	1.398824e-004	7.895949e-003
2.504882929746100e-006	1.232560e+001	-1.787381e-004	8.596160e-003
2.507180435176372e-006	1.225101e+001	-7.167409e-004	9.464719e-003
2.507987908531748e-006	1.221623e+001	-9.479331e-004	9.768670e-003
2.508385053289250e-006	1.219757e+001	-1.075736e-003	9.917540e-003
2.509179342804254e-006	1.215809e+001	-1.323714e-003	1.021452e-002
2.509444774814477e-006	1.214968e+001	-1.382548e-003	1.031361e-002
2.509469135979556e-006	1.214952e+001	-1.382405e-003	1.032269e-002
2.509517858309716e-006	1.215017e+001	-1.364749e-003	1.034086e-002
2.509615302970035e-006	1.215736e+001	-1.271637e-003	1.037721e-002
2.509730386237870e-006	1.218122e+001	-1.034915e-003	1.042021e-002
2.509847308129314e-006	1.223019e+001	-6.460377e-004	1.046400e-002
2.509874961848841e-006	1.224590e+001	-5.204940e-004	1.047438e-002
2.509930269287894e-006	1.228039e+001	-2.274168e-004	1.049521e-002
2.509947493126600e-006	1.229171e+001	-1.325165e-004	1.050171e-002
2.509965552322589e-006	1.230365e+001	-3.127807e-005	1.050853e-002
2.510000000000000e-006	1.232630e+001	1.612535e-004	1.052156e-002
2.510003444767741e-006	1.232855e+001	1.802423e-004	1.052287e-002
2.510010334303224e-006	1.233303e+001	2.180118e-004	1.052548e-002
2.510024113374188e-006	1.234189e+001	2.923968e-004	1.053070e-002
2.510051671516117e-006	1.235918e+001	4.353223e-004	1.054117e-002
2.510106787799975e-006	1.239143e+001	6.926817e-004	1.056215e-002
2.510217020367692e-006	1.244463e+001	1.105792e-003	1.060427e-002
2.510371957868645e-006	1.249463e+001	1.522101e-003	1.066367e-002
2.510472217915521e-006	1.251423e+001	1.696538e-003	1.070221e-002
2.510546799157405e-006	1.252427e+001	1.775531e-003	1.073093e-002
2.510630975406587e-006	1.253232e+001	1.832392e-003	1.076338e-002
2.510722887902405e-006	1.253829e+001	1.870895e-003	1.079883e-002
2.510820049925301e-006	1.254247e+001	1.893648e-003	1.083631e-002
2.510911081561991e-006	1.254509e+001	1.903696e-003	1.087144e-002
2.511007040844301e-006	1.254703e+001	1.906724e-003	1.090849e-002
2.511105761385101e-006	1.254848e+001	1.905068e-003	1.094660e-002
2.511218233823719e-006	1.254975e+001	1.899778e-003	1.099002e-002
2.511341003740161e-006	1.255087e+001	1.891761e-003	1.103742e-002
2.511489089870156e-006	1.255202e+001	1.880495e-003	1.109460e-002
2.511662035651152e-006	1.255324e+001	1.866322e-003	1.116139e-002
2.511888932123768e-006	1.255472e+001	1.847042e-003	1.124901e-002
2.512178088804040e-006	1.255651e+001	1.822120e-003	1.136068e-002
2.512594741480464e-006	1.255897e+001	1.786229e-003	1.152161e-002
2.513134675512662e-006	1.256204e+001	1.740400e-003	1.173018e-002
2.513850977547312e-006	1.256598e+001	1.681339e-003	1.200690e-002
2.514665845741270e-006	1.257036e+001	1.617098e-003	1.232175e-002
2.515720861793987e-006	1.257593e+001	1.538822e-003	1.272945e-002
2.516944577896164e-006	1.258231e+001	1.454969e-003	1.320243e-002
2.518570488532928e-006	1.259070e+001	1.354163e-003	1.383101e-002
2.520410878387583e-006	1.260013e+001	1.253693e-003	1.454269e-002
2.522945790020339e-006	1.261304e+001	1.135450e-003	1.552324e-002
2.525752464255967e-006	1.262726e+001	1.028088e-003	1.660933e-002
2.529796050067336e-006	1.264768e+001	9.070283e-004	1.817476e-002
2.534104721314964e-006	1.266936e+001	8.121733e-004	1.984370e-002
2.540671073836712e-006	1.270232e+001	7.135729e-004	2.238867e-002
2.547297008979492e-006	1.273550e+001	6.510888e-004	2.495853e-002
2.557414116872041e-006	1.278609e+001	5.976069e-004	2.888530e-002
2.566778232753262e-006	1.283286e+001	5.717449e-004	3.252246e-002
2.580275490830919e-006	1.290024e+001	5.549326e-004	3.776858e-002
2.594705544003130e-006	1.297225e+001	5.467692e-004	4.338003e-002
2.617605461689701e-006	1.308652e+001	5.408801e-004	5.228612e-002
2.646330905142686e-006	1.322985e+001	5.360994e-004	6.344321e-002
2.700619521318979e-006	1.350073e+001	5.284324e-004	8.440497e-002
2.795013919016580e-006	1.397173e+001	5.159790e-004	1.200193e-001
2.975674901815573e-006	1.487327e+001	4.942092e-004	1.845524e-001
3.163628163628863e-006	1.581140e+001	4.740036e-004	2.446754e-001
3.358940663628863e-006	1.678657e+001	4.554091e-004	2.960576e-001
3.554253163628863e-006	1.776212e+001	4.388551e-004	3.333706e-001
3.749565663628863e-006	1.873811e+001	4.240386e-004	3.544635e-001
3.944878163628863e-006	1.971457e+001	4.106876e-004	3.582289e-001
4.140190663628863e-006	2.069151e+001	3.985713e-004	3.449925e-001
4.314687500000000e-006	2.156471e+001	3.885260e-004	3.219045e-001
4.324687500000000e-006	2.161476e+001	3.879817e-004	3.201509e-001
4.344687500000000e-006	2.171487e+001	3.869206e-004	3.161375e-001
4.384687500000000e-006	2.191509e+001	3.848045e-004	3.076664e-001
4.440000000000001e-006	2.219199e+001	3.819177e-004	2.952412e-001
4.450000000000001e-006	2.224206e+001	3.814058e-004	2.928447e-001
4.460000000000001e-006	2.229212e+001	3.808958e-004	2.904151e-001
4.470000000000000e-006	2.234219e+001	3.803876e-004	2.879526e-001
4.480000000000000e-006	2.239226e+001	3.798812e-004	2.854570e-001
4.490000000000000e-006	2.244232e+001	3.793767e-004	2.829284e-001
4.500000000000000e-006	2.249239e+001	3.788740e-004	2.803668e-001
4.510000000000000e-006	2.254246e+001	3.783732e-004	2.777722e-001
4.511000000000000e-006	2.254777e+001	3.798455e-004	2.775100e-001
4.513000000000000e-006	2.255835e+001	3.823394e-004	2.769848e-001
4.516000000000000e-006	2.257410e+001	3.848738e-004	2.761948e-001
4.520000000000000e-006	2.259488e+001	3.869170e-004	2.751384e-001
4.520400000000000e-006	2.259682e+001	3.862646e-004	2.750323e-001
4.521200000000000e-006	2.260068e+001	3.849283e-004	2.748200e-001
4.522800000000000e-006	2.260836e+001	3.823642e-004	2.743948e-001
4.525344692469135e-006	2.262056e+001	3.784575e-004	2.737166e-001
4.529022013048961e-006	2.263790e+001	3.721250e-004	2.727334e-001
4.531393653933465e-006	2.264854e+001	3.661042e-004	2.720974e-001
4.532727469964195e-006	2.265396e+001	3.600718e-004	2.717388e-001
4.533682269717113e-006	2.265717e+001	3.523095e-004	2.714816e-001
4.534391393352634e-006	2.265874e+001	3.421025e-004	2.712903e-001
4.534972654886938e-006	2.265889e+001	3.272410e-004	2.711333e-001
4.535471398775201e-006	2.265726e+001	3.043518e-004	2.709985e-001
4.535924011594265e-006	2.265289e+001	2.667196e-004	2.708760e-001
4.536366804037807e-006	2.264359e+001	2.018973e-004	2.707559e-001
4.536811889990346e-006	2.262636e+001	1.009686e-004	2.706349e-001
4.537260453605227e-006	2.260276e+001	-2.854261e-005	2.705126e-001
4.537575213782507e-006	2.258484e+001	-1.274273e-004	2.704265e-001
4.537892552313613e-006	2.256636e+001	-2.282315e-004	2.703394e-001
4.538527229375825e-006	2.252855e+001	-4.270047e-004	2.701641e-001
4.539796583500249e-006	2.244987e+001	-8.123635e-004	2.698097e-001
4.542335291749097e-006	2.228068e+001	-1.540632e-003	2.690838e-001
4.547412708246794e-006	2.189566e+001	-2.890164e-003	2.675746e-001
4.553386915482327e-006	2.136473e+001	-4.356823e-003	2.657098e-001
4.557763930812158e-006	2.092659e+001	-5.347332e-003	2.642641e-001
4.562396947800537e-006	2.042490e+001	-6.311615e-003	2.626432e-001
4.567243505274734e-006	1.986599e+001	-7.231127e-003	2.608451e-001
4.573261684634659e-006	1.913352e+001	-8.257530e-003	2.584656e-001
4.579548336628005e-006	1.833307e+001	-9.216095e-003	2.558101e-001
4.585568209826800e-006	1.754120e+001	-1.003834e-002	2.530922e-001
4.591442418847633e-006	1.675115e+001	-1.076576e-002	2.502652e-001
4.597438362274453e-006	1.593281e+001	-1.144839e-002	2.471985e-001
4.603684202934729e-006	1.507312e+001	-1.211008e-002	2.438091e-001
4.610249088568466e-006	1.416726e+001	-1.276440e-002	2.400320e-001
4.617215163567047e-006	1.320959e+001	-1.342492e-002	2.357833e-001
4.624733423170934e-006	1.218686e+001	-1.411141e-002	2.309215e-001
4.632992532393097e-006	1.108418e+001	-1.484791e-002	2.252543e-001
4.642259090217312e-006	9.882524e+000	-1.566909e-002	2.184985e-001
4.652863023520687e-006	8.565604e+000	-1.662453e-002	2.102703e-001
4.665295615026437e-006	7.116407e+000	-1.779910e-002	1.999820e-001
4.680198951897112e-006	5.534671e+000	-1.933321e-002	1.868068e-001
4.698551282029757e-006	3.844955e+000	-2.144546e-002	1.694663e-001
4.721604494177919e-006	2.147313e+000	-2.410909e-002	1.462804e-001
4.747696178005359e-006	7.802002e-001	-2.598320e-002	1.187167e-001
4.764095452550482e-006	1.892607e-001	-2.528008e-002	1.007846e-001
4.777434602510753e-006	-1.617193e-001	-2.286090e-002	8.587397e-002
4.790597711539350e-006	-4.110853e-001	-1.883393e-002	7.098471e-002
4.801237999139479e-006	-5.242577e-001	-1.412467e-002	5.886161e-002
4.812253232153012e-006	-5.595815e-001	-8.434179e-003	4.626181e-002
4.816587737821011e-006	-5.661035e-001	-6.561636e-003	4.129472e-002
4.822886758902696e-006	-5.724239e-001	-4.641980e-003	3.406860e-002
4.829458226115195e-006	-5.764131e-001	-3.164280e-003	2.652490e-002
4.835856556296136e-006	-5.785287e-001	-2.141484e-003	1.917545e-002
4.842106421679868e-006	-5.792426e-001	-1.428433e-003	1.199287e-002
4.848969497482139e-006	-5.786760e-001	-8.545773e-004	4.102396e-003
4.855500491313931e-006	-5.768005e-001	-4.353587e-004	-3.408537e-003
4.862306445051798e-006	-5.732983e-001	-7.336726e-005	-1.123721e-002
4.870022670108473e-006	-5.668010e-001	3.221944e-004	-2.011344e-002
4.877725094026712e-006	-5.561338e-001	7.862388e-004	-2.897294e-002
4.883327547219926e-006	-5.436018e-001	1.275909e-003	-3.541521e-002
4.888469726446370e-006	-5.251114e-001	2.010015e-003	-4.132537e-002
4.893006948818067e-006	-4.980893e-001	3.090405e-003	-4.653623e-002
4.897747526871515e-006	-4.532101e-001	4.757146e-003	-5.197395e-002
4.903066134719765e-006	-3.841539e-001	7.008450e-003	-5.806426e-002
4.907864220715835e-006	-3.095960e-001	9.094270e-003	-6.354652e-002
4.912588676723451e-006	-2.256586e-001	1.105628e-002	-6.892640e-002
4.922037588738685e-006	-2.407192e-002	1.470801e-002	-7.962281e-002
4.936503149301050e-006	3.834771e-001	1.983163e-002	-9.587996e-002
4.942783027348837e-006	6.024201e-001	2.177316e-002	-1.028781e-001
4.947440243904427e-006	7.827402e-001	2.299568e-002	-1.080269e-001
4.950685566888820e-006	9.178388e-001	2.373674e-002	-1.115951e-001
4.954352425715212e-006	1.080147e+000	2.446478e-002	-1.156077e-001
4.957806001625610e-006	1.242656e+000	2.501609e-002	-1.193632e-001
4.960000000000000e-006	1.350864e+000	2.531548e-002	-1.217397e-001
4.960219399837439e-006	1.361912e+000	2.534226e-002	-1.219766e-001
4.960658199512316e-006	1.384104e+000	2.539387e-002	-1.224503e-001
4.963290997561584e-006	1.520589e+000	2.565593e-002	-1.252830e-001
4.966801394960608e-006	1.711592e+000	2.591352e-002	-1.290401e-001
4.970000000000000e-006	1.894775e+000	2.608766e-002	-1.324500e-001
4.970007036945160e-006	1.895188e+000	2.608789e-002	-1.324574e-001
4.970021110835482e-006	1.896013e+000	2.608834e-002	-1.324724e-001
4.974303809287556e-006	2.154819e+000	2.610033e-002	-1.369967e-001
4.978586507739630e-006	2.430349e+000	2.602874e-002	-1.414751e-001
4.982869206191704e-006	2.722603e+000	2.587355e-002	-1.459075e-001
4.987151904643778e-006	3.031581e+000	2.563478e-002	-1.502939e-001
4.991434603095852e-006	3.357283e+000	2.531242e-002	-1.546344e-001
4.995717301547926e-006	3.699709e+000	2.490647e-002	-1.589289e-001
5.000000000000000e-006	4.058859e+000	2.441693e-002	-1.631774e-001
5.000016080725984e-006	4.060243e+000	3.226499e-002	-1.631932e-001
5.000048242177951e-006	4.063011e+000	4.801918e-002	-1.632248e-001
5.000112565081884e-006	4.068559e+000	7.981043e-002	-1.632880e-001
5.000241210889752e-006	4.079705e+000	1.445402e-001	-1.634143e-001
5.000498502505486e-006	4.102191e+000	2.785087e-001	-1.636668e-001
5.001013085736956e-006	4.147924e+000	5.638603e-001	-1.641711e-001
5.002042252199895e-006	4.242350e+000	1.190771e+000	-1.651767e-001
5.003524193021996e-006	4.385196e+000	2.210097e+000	-1.666182e-001
5.005648866069154e-006	4.605136e+000	3.855691e+000	-1.686731e-001
5.007217490297633e-006	4.781472e+000	5.189148e+000	-1.701812e-001
5.008030573440693e-006	4.878939e+000	5.925517e+000	-1.709590e-001
5.008373833713881e-006	4.921609e+000	6.248119e+000	-1.712862e-001
5.009060354260257e-006	4.988946e+000	6.905018e+000	-1.719392e-001
5.009339498364428e-006	4.937199e+000	7.171821e+000	-1.722047e-001
5.009517212589194e-006	4.792755e+000	7.337864e+000	-1.723743e-001
5.009660606187447e-006	4.569072e+000	7.465752e+000	-1.725121e-001
5.009813456198770e-006	4.211772e+000	7.595573e+000	-1.726601e-001
5.009850966647160e-006	4.105868e+000	7.625844e+000	-1.726967e-001
5.009925987543939e-006	3.874843e+000	7.683552e+000	-1.727706e-001
5.010000000000000e-006	3.624341e+000	7.738929e+000	-1.728438e-001
5.010007401245606e-006	3.598055e+000	7.740648e+000	-1.728512e-001
5.010022203736818e-006	3.545167e+000	7.744007e+000	-1.728659e-001
5.010051808719243e-006	3.437312e+000	7.750360e+000	-1.728956e-001
5.010111018684092e-006	3.214207e+000	7.761739e+000	-1.729553e-001
5.010229438613791e-006	2.745378e+000	7.780524e+000	-1.730765e-001
5.010466278473188e-006	1.761737e+000	7.812472e+000	-1.733245e-001
