time	V(n012)	V(n015)	I(L1)
2.473079245587049e-006	1.157188e+001	-3.102295e-005	1.748025e-002
2.474098664768739e-006	1.156944e+001	-4.961569e-005	1.793091e-002
2.475118083950430e-006	1.156684e+001	-6.827410e-005	1.838123e-002
2.476137503132121e-006	1.156407e+001	-8.699817e-005	1.883122e-002
2.477156922313812e-006	1.156114e+001	-1.057879e-004	1.928088e-002
2.485672163344392e-006	1.153001e+001	-2.640283e-004	2.303053e-002
2.493780099561045e-006	1.148915e+001	-4.202215e-004	2.657412e-002
2.500000000000000e-006	1.145020e+001	-5.423552e-004	2.928077e-002
2.500013683808334e-006	1.145010e+001	-5.426571e-004	2.928670e-002
2.500041051425000e-006	1.144991e+001	-5.432850e-004	2.929856e-002
2.500095786658333e-006	1.144951e+001	-5.446478e-004	2.932228e-002
2.500199357145088e-006	1.144872e+001	-5.476223e-004	2.936715e-002
2.500406498118596e-006	1.144699e+001	-5.551047e-004	2.945687e-002
2.500820780065614e-006	1.144295e+001	-5.759667e-004	2.963621e-002
2.501649343959648e-006	1.143255e+001	-6.378185e-004	2.999451e-002
2.502912621123971e-006	1.141048e+001	-7.825816e-004	3.053957e-002
2.504714168482528e-006	1.136380e+001	-1.093636e-003	3.131398e-002
2.506410126227530e-006	1.129888e+001	-1.519394e-003	3.203882e-002
2.508106302573157e-006	1.120967e+001	-2.076308e-003	3.275908e-002
2.508755340516147e-006	1.116898e+001	-2.325143e-003	3.303304e-002
2.509149177990109e-006	1.114350e+001	-2.484738e-003	3.319858e-002
2.509212325052078e-006	1.113960e+001	-2.506158e-003	3.322507e-002
2.509338619176015e-006	1.113387e+001	-2.517967e-003	3.327800e-002
2.509482934874039e-006	1.113656e+001	-2.441231e-003	3.333849e-002
2.509610863611795e-006	1.115745e+001	-2.205485e-003	3.339218e-002
2.509734584576941e-006	1.120675e+001	-1.727207e-003	3.344428e-002
2.509844158085920e-006	1.128298e+001	-9.864205e-004	3.349076e-002
2.510000000000000e-006	1.145506e+001	4.520210e-004	3.355737e-002
2.510005499662598e-006	1.146260e+001	5.195206e-004	3.355974e-002
2.510016498987794e-006	1.147787e+001	6.569114e-004	3.356451e-002
2.510038497638186e-006	1.150958e+001	9.435035e-004	3.357405e-002
2.510082494938971e-006	1.157769e+001	1.563387e-003	3.359327e-002
2.510170489540539e-006	1.173200e+001	2.935395e-003	3.363213e-002
2.510293245694361e-006	1.197743e+001	4.965536e-003	3.368715e-002
2.510386400437684e-006	1.215543e+001	6.409261e-003	3.372958e-002
2.510466490841954e-006	1.227589e+001	7.389986e-003	3.376660e-002
2.510565320672516e-006	1.238097e+001	8.213806e-003	3.381277e-002
2.510682868656138e-006	1.245796e+001	8.829897e-003	3.386805e-002
2.510762512848033e-006	1.248950e+001	9.074175e-003	3.390568e-002
2.510831536264723e-006	1.250808e+001	9.188625e-003	3.393839e-002
2.510916534953613e-006	1.252356e+001	9.262242e-003	3.397872e-002
2.510995360887285e-006	1.253281e+001	9.289308e-003	3.401616e-002
2.511073550632246e-006	1.253889e+001	9.287781e-003	3.405332e-002
2.511151378974291e-006	1.254291e+001	9.268652e-003	3.409033e-002
2.511228615206442e-006	1.254564e+001	9.238378e-003	3.412706e-002
2.511315301255266e-006	1.254773e+001	9.196357e-003	3.416830e-002
2.511399302844660e-006	1.254917e+001	9.150714e-003	3.420826e-002
2.511504443686257e-006	1.255049e+001	9.089811e-003	3.425829e-002
2.511605193087353e-006	1.255148e+001	9.029482e-003	3.430623e-002
2.511748382201203e-006	1.255264e+001	8.942378e-003	3.437437e-002
2.511885530883408e-006	1.255362e+001	8.858755e-003	3.443963e-002
2.512115858390734e-006	1.255513e+001	8.719068e-003	3.454924e-002
2.512335152594606e-006	1.255649e+001	8.587945e-003	3.465361e-002
2.512773741002351e-006	1.255911e+001	8.331056e-003	3.486235e-002
2.513192211688208e-006	1.256150e+001	8.093065e-003	3.506152e-002
2.513854714540219e-006	1.256520e+001	7.730730e-003	3.537685e-002
2.514563182561686e-006	1.256903e+001	7.361410e-003	3.571409e-002
2.515451718204018e-006	1.257377e+001	6.924963e-003	3.613706e-002
2.516457838769275e-006	1.257904e+001	6.464108e-003	3.661604e-002
2.517665506828922e-006	1.258533e+001	5.954656e-003	3.719100e-002
2.519025717865381e-006	1.259233e+001	5.433501e-003	3.783863e-002
2.520663039662011e-006	1.260073e+001	4.872329e-003	3.861825e-002
2.522473791780972e-006	1.260994e+001	4.327701e-003	3.948051e-002
2.524743449307991e-006	1.262148e+001	3.740198e-003	4.056137e-002
2.527124175454425e-006	1.263351e+001	3.223019e-003	4.169520e-002
2.530198821139372e-006	1.264903e+001	2.677059e-003	4.315961e-002
2.533355015567888e-006	1.266490e+001	2.235517e-003	4.466293e-002
2.537899412553913e-006	1.268773e+001	1.753321e-003	4.682755e-002
2.542065184262242e-006	1.270859e+001	1.434373e-003	4.881181e-002
2.548499114788846e-006	1.274080e+001	1.100471e-003	5.187632e-002
2.554338126359744e-006	1.276998e+001	9.021479e-004	5.465714e-002
2.561434554913868e-006	1.280543e+001	7.553067e-004	5.803612e-002
2.568177940326011e-006	1.283908e+001	6.715536e-004	6.124600e-002
2.576619123966642e-006	1.288121e+001	6.125852e-004	6.526221e-002
2.585610268764397e-006	1.292606e+001	5.787229e-004	6.953724e-002
