Freq.	V(Vout+,Vout-)*45
2.36236236236235e+004	(-4.88769051887012e+000dB,1.41670561047960e+002°)
2.37397397397396e+004	(-4.80491306968137e+000dB,1.41502558323203e+002°)
2.38558558558558e+004	(-4.72252564231772e+000dB,1.41334748876549e+002°)
2.39719719719719e+004	(-4.64052380066008e+000dB,1.41167131518075e+002°)
2.40880880880880e+004	(-4.55890316751479e+000dB,1.40999705038334e+002°)
2.42042042042041e+004	(-4.47765942349380e+000dB,1.40832468208389e+002°)
2.43203203203202e+004	(-4.39678830592159e+000dB,1.40665419779857e+002°)
2.44364364364363e+004	(-4.31628560776796e+000dB,1.40498558484947e+002°)
2.45525525525524e+004	(-4.23614717660600e+000dB,1.40331883036491e+002°)
2.46686686686686e+004	(-4.15636891359446e+000dB,1.40165392127985e+002°)
2.47847847847847e+004	(-4.07694677248391e+000dB,1.39999084433619e+002°)
2.49009009009008e+004	(-3.99787675864601e+000dB,1.39832958608310e+002°)
2.50170170170169e+004	(-3.91915492812514e+000dB,1.39667013287732e+002°)
2.51331331331330e+004	(-3.84077738671192e+000dB,1.39501247088347e+002°)
2.52492492492491e+004	(-3.76274028903786e+000dB,1.39335658607431e+002°)
2.53653653653652e+004	(-3.68503983769071e+000dB,1.39170246423099e+002°)
2.54814814814814e+004	(-3.60767228234974e+000dB,1.39005009094332e+002°)
2.55975975975975e+004	(-3.53063391894066e+000dB,1.38839945160997e+002°)
2.57137137137136e+004	(-3.45392108880940e+000dB,1.38675053143872e+002°)
2.58298298298297e+004	(-3.37753017791436e+000dB,1.38510331544660e+002°)
2.59459459459458e+004	(-3.30145761603667e+000dB,1.38345778846010e+002°)
2.60620620620619e+004	(-3.22569987600785e+000dB,1.38181393511535e+002°)
2.61781781781780e+004	(-3.15025347295452e+000dB,1.38017173985818e+002°)
2.62942942942942e+004	(-3.07511496355963e+000dB,1.37853118694436e+002°)
2.64104104104103e+004	(-3.00028094533984e+000dB,1.37689226043958e+002°)
2.65265265265264e+004	(-2.92574805593851e+000dB,1.37525494421964e+002°)
2.66426426426425e+004	(-2.85151297243404e+000dB,1.37361922197044e+002°)
2.67587587587586e+004	(-2.77757241066308e+000dB,1.37198507718808e+002°)
2.68748748748747e+004	(-2.70392312455812e+000dB,1.37035249317883e+002°)
2.69909909909908e+004	(-2.63056190549937e+000dB,1.36872145305920e+002°)
2.71071071071070e+004	(-2.55748558168020e+000dB,1.36709193975588e+002°)
2.72232232232231e+004	(-2.48469101748610e+000dB,1.36546393600571e+002°)
2.73393393393392e+004	(-2.41217511288666e+000dB,1.36383742435567e+002°)
2.74554554554553e+004	(-2.33993480284023e+000dB,1.36221238716271e+002°)
2.75715715715714e+004	(-2.26796705671103e+000dB,1.36058880659375e+002°)
2.76876876876875e+004	(-2.19626887769829e+000dB,1.35896666462550e+002°)
2.78038038038037e+004	(-2.12483730227728e+000dB,1.35734594304433e+002°)
2.79199199199198e+004	(-2.05366939965164e+000dB,1.35572662344612e+002°)
2.80360360360359e+004	(-1.98276227121712e+000dB,1.35410868723604e+002°)
2.81521521521520e+004	(-1.91211305003608e+000dB,1.35249211562837e+002°)
2.82682682682681e+004	(-1.84171890032279e+000dB,1.35087688964625e+002°)
2.83843843843842e+004	(-1.77157701693896e+000dB,1.34926299012140e+002°)
2.85005005005003e+004	(-1.70168462489959e+000dB,1.34765039769391e+002°)
2.86166166166165e+004	(-1.63203897888855e+000dB,1.34603909281183e+002°)
2.87327327327326e+004	(-1.56263736278395e+000dB,1.34442905573092e+002°)
2.88488488488487e+004	(-1.49347708919288e+000dB,1.34282026651425e+002°)
2.89649649649648e+004	(-1.42455549899533e+000dB,1.34121270503186e+002°)
2.90810810810809e+004	(-1.35586996089710e+000dB,1.33960635096029e+002°)
2.91971971971970e+004	(-1.28741787099155e+000dB,1.33800118378221e+002°)
2.93133133133131e+004	(-1.21919665232978e+000dB,1.33639718278591e+002°)
2.94294294294293e+004	(-1.15120375449931e+000dB,1.33479432706485e+002°)
2.95455455455454e+004	(-1.08343665321082e+000dB,1.33319259551713e+002°)
2.96616616616615e+004	(-1.01589284989294e+000dB,1.33159196684497e+002°)
2.97777777777776e+004	(-9.48569871294763e-001dB,1.32999241955410e+002°)
2.98938938938937e+004	(-8.81465269096095e-001dB,1.32839393195323e+002°)
3.00100100100098e+004	(-8.14576619524959e-001dB,1.32679648215336e+002°)
3.01261261261259e+004	(-7.47901522982566e-001dB,1.32520004806718e+002°)
3.02422422422421e+004	(-6.81437603675256e-001dB,1.32360460740836e+002°)
3.03583583583582e+004	(-6.15182509253456e-001dB,1.32201013769087e+002°)
3.04744744744743e+004	(-5.49133910457412e-001dB,1.32041661622821e+002°)
3.05905905905904e+004	(-4.83289500769558e-001dB,1.31882402013268e+002°)
3.07067067067065e+004	(-4.17646996073397e-001dB,1.31723232631454e+002°)
3.08228228228226e+004	(-3.52204134318705e-001dB,1.31564151148123e+002°)
3.09389389389387e+004	(-2.86958675193001e-001dB,1.31405155213647e+002°)
3.10550550550549e+004	(-2.21908399799052e-001dB,1.31246242457942e+002°)
3.11711711711710e+004	(-1.57051110338318e-001dB,1.31087410490370e+002°)
3.12872872872871e+004	(-9.23846298002823e-002dB,1.30928656899650e+002°)
3.14034034034032e+004	(-2.79068016574180e-002dB,1.30769979253756e+002°)
3.15195195195193e+004	(3.63845104342413e-002dB,1.30611375099817e+002°)
3.16356356356354e+004	(1.00491422929076e-001dB,1.30452841964011e+002°)
3.17517517517515e+004	(1.64416032680532e-001dB,1.30294377351460e+002°)
3.18678678678677e+004	(2.28160417224465e-001dB,1.30135978746116e+002°)
3.19839839839838e+004	(2.91726635057451e-001dB,1.29977643610645e+002°)
3.21001001000999e+004	(3.55116725910008e-001dB,1.29819369386315e+002°)
3.22162162162160e+004	(4.18332711014930e-001dB,1.29661153492869e+002°)
3.23323323323321e+004	(4.81376593370782e-001dB,1.29502993328400e+002°)
3.24484484484482e+004	(5.44250358000667e-001dB,1.29344886269229e+002°)
3.25645645645643e+004	(6.06955972206390e-001dB,1.29186829669765e+002°)
3.26806806806805e+004	(6.69495385818045e-001dB,1.29028820862375e+002°)
3.27967967967966e+004	(7.31870531439183e-001dB,1.28870857157243e+002°)
3.29129129129127e+004	(7.94083324687578e-001dB,1.28712935842227e+002°)
3.30290290290288e+004	(8.56135664431752e-001dB,1.28555054182715e+002°)
3.31451451451449e+004	(9.18029433023269e-001dB,1.28397209421472e+002°)
3.32612612612610e+004	(9.79766496524934e-001dB,1.28239398778487e+002°)
3.33773773773771e+004	(1.04134870493491e+000dB,1.28081619450817e+002°)
3.34934934934933e+004	(1.10277789240690e+000dB,1.27923868612425e+002°)
3.36096096096094e+004	(1.16405587746645e+000dB,1.27766143414012e+002°)
3.37257257257255e+004	(1.22518446322334e+000dB,1.27608440982852e+002°)
3.38418418418416e+004	(1.28616543758032e+000dB,1.27450758422618e+002°)
3.39579579579577e+004	(1.34700057343810e+000dB,1.27293092813200e+002°)
3.40740740740738e+004	(1.40769162889675e+000dB,1.27135441210530e+002°)
3.41901901901899e+004	(1.46824034745346e+000dB,1.26977800646397e+002°)
3.43063063063061e+004	(1.52864845819688e+000dB,1.26820168128250e+002°)
3.44224224224222e+004	(1.58891767599804e+000dB,1.26662540639013e+002°)
3.45385385385383e+004	(1.64904970169774e+000dB,1.26504915136883e+002°)
3.46546546546544e+004	(1.70904622229080e+000dB,1.26347288555130e+002°)
