Freq.	V(Vout+,Vout-)
Step Information: Rl=4  (Run: 1/7)
1.38638638638638e+005	(-1.14828746058211e+001dB,-1.22697996610978e+002°)
1.38838838838838e+005	(-1.10688367699319e+001dB,-1.23746231969367e+002°)
1.39039039039038e+005	(-1.06459899090196e+001dB,-1.24865822954884e+002°)
1.39239239239239e+005	(-1.02141473830378e+001dB,-1.26063905071517e+002°)
1.39439439439439e+005	(-9.77317033423209e+000dB,-1.27348476443316e+002°)
1.39639639639639e+005	(-9.32298677785002e+000dB,-1.28728500683315e+002°)
1.39839839839839e+005	(-8.86361632438255e+000dB,-1.30214014557938e+002°)
1.40040040040039e+005	(-8.39520200187354e+000dB,-1.31816235732294e+002°)
1.40240240240240e+005	(-7.91805092498979e+000dB,-1.33547662594440e+002°)
1.40440440440440e+005	(-7.43268580500533e+000dB,-1.35422153315490e+002°)
1.40640640640640e+005	(-6.93990942828697e+000dB,-1.37454964374408e+002°)
1.40840840840840e+005	(-6.44088410136295e+000dB,-1.39662719201501e+002°)
1.41041041041040e+005	(-5.93722742046890e+000dB,-1.42063264963310e+002°)
1.41241241241241e+005	(-5.43112418969162e+000dB,-1.44675359951153e+002°)
1.41441441441441e+005	(-4.92545134458522e+000dB,-1.47518116934797e+002°)
1.41641641641641e+005	(-4.42390767637497e+000dB,-1.50610113038025e+002°)
1.41841841841841e+005	(-3.93113238918380e+000dB,-1.53968072085560e+002°)
1.42042042042041e+005	(-3.45278594782811e+000dB,-1.57605044457986e+002°)
1.42242242242242e+005	(-2.99555449160983e+000dB,-1.61528071265377e+002°)
1.42442442442442e+005	(-2.56702896026706e+000dB,-1.65735443826724e+002°)
1.42642642642642e+005	(-2.17540899568783e+000dB,-1.70213863186423e+002°)
1.42842842842842e+005	(-1.82899917408912e+000dB,-1.74936039711951e+002°)
1.43043043043042e+005	(-1.53550885420435e+000dB,-1.79859464448372e+002°)
1.43243243243243e+005	(-1.30123431234266e+000dB,1.75072905762075e+002°)
1.43443443443443e+005	(-1.13027209703854e+000dB,1.69929605648729e+002°)
1.43643643643643e+005	(-1.02394905135979e+000dB,1.64785427548460e+002°)
1.43843843843843e+005	(-9.80624433439782e-001dB,1.59714880506807e+002°)
1.44044044044043e+005	(-9.95921772609330e-001dB,1.54785708310858e+002°)
1.44244244244244e+005	(-1.06332307511834e+000dB,1.50053809837745e+002°)
1.44444444444444e+005	(-1.17496470259037e+000dB,1.45560391647864e+002°)
1.44644644644644e+005	(-1.32245026604862e+000dB,1.41331461219547e+002°)
1.44844844844844e+005	(-1.49753660407938e+000dB,1.37379179937812e+002°)
1.45045045045044e+005	(-1.69262017717464e+000dB,1.33704324377250e+002°)
1.45245245245245e+005	(-1.90101717448398e+000dB,1.30299135066518e+002°)
1.45445445445445e+005	(-2.11707211939906e+000dB,1.27150031768628e+002°)
1.45645645645645e+005	(-2.33614538233462e+000dB,1.24239908568159e+002°)
1.45845845845845e+005	(-2.55452785163426e+000dB,1.21549910540650e+002°)
1.46046046046045e+005	(-2.76932050249781e+000dB,1.19060712312891e+002°)
1.46246246246246e+005	(-2.97830445652229e+000dB,1.16753376335179e+002°)
1.46446446446446e+005	(-3.17981675805641e+000dB,1.14609885194520e+002°)
1.46646646646646e+005	(-3.37263956582761e+000dB,1.12613436436396e+002°)
1.46846846846846e+005	(-3.55590559246171e+000dB,1.10748573140229e+002°)
1.47047047047046e+005	(-3.72901979774759e+000dB,1.09001206415474e+002°)
1.47247247247247e+005	(-3.89159589863351e+000dB,1.07358570632539e+002°)
1.47447447447447e+005	(-4.04340567274356e+000dB,1.05809139823944e+002°)
1.47647647647647e+005	(-4.18433893195789e+000dB,1.04342524348165e+002°)
1.47847847847847e+005	(-4.31437219001871e+000dB,1.02949360168803e+002°)
1.48048048048047e+005	(-4.43354430077111e+000dB,1.01621198402508e+002°)
1.48248248248248e+005	(-4.54193762234372e+000dB,1.00350399603627e+002°)
1.48448448448448e+005	(-4.63966352716228e+000dB,9.91300351497461e+001°)
1.48648648648648e+005	(-4.72685131071981e+000dB,9.79537967399995e+001°)
1.48848848848848e+005	(-4.80363974848293e+000dB,9.68159141762240e+001°)
1.49049049049048e+005	(-4.87017071145502e+000dB,9.57110810950888e+001°)
1.49249249249249e+005	(-4.92658438077717e+000dB,9.46343880390643e+001°)
1.49449449449449e+005	(-4.97301570523631e+000dB,9.35812621151182e+001°)
1.49649649649649e+005	(-5.00959182750042e+000dB,9.25474124385308e+001°)
1.49849849849849e+005	(-5.03643026964837e+000dB,9.15287805596431e+001°)
1.50050050050049e+005	(-5.05363771980599e+000dB,9.05214951005987e+001°)
1.50250250250250e+005	(-5.06130930251140e+000dB,8.95218298724958e+001°)
1.50450450450450e+005	(-5.05952824831943e+000dB,8.85261647916771e+001°)
1.50650650650650e+005	(-5.04836590516143e+000dB,8.75309489617680e+001°)
1.50850850850850e+005	(-5.02788205677155e+000dB,8.65326653325621e+001°)
1.51051051051050e+005	(-4.99812553346093e+000dB,8.55277963867476e+001°)
1.51251251251251e+005	(-4.95913511884121e+000dB,8.45127903406991e+001°)
1.51451451451451e+005	(-4.91094077380542e+000dB,8.34840273770898e+001°)
1.51651651651651e+005	(-4.85356521711087e+000dB,8.24377854567069e+001°)
1.51851851851851e+005	(-4.78702592117978e+000dB,8.13702052873819e+001°)
1.52052052052051e+005	(-4.71133760313420e+000dB,8.02772540633147e+001°)
1.52252252252251e+005	(-4.62651531552470e+000dB,7.91546876338565e+001°)
1.52452452452452e+005	(-4.53257826963036e+000dB,7.79980108246181e+001°)
1.52652652652652e+005	(-4.42955455754675e+000dB,7.68024357261871e+001°)
1.52852852852852e+005	(-4.31748697842947e+000dB,7.55628379011780e+001°)
1.53053053053052e+005	(-4.19644021996168e+000dB,7.42737106585973e+001°)
1.53253253253252e+005	(-4.06650969872460e+000dB,7.29291178321819e+001°)
